timestamp,aktueller_schritt,k1_temperatur,k1_fuellstand,k2_temperatur,k2_fuellstand,k3_temperatur,k3_fuellstand,k4_temperatur,k4_fuellstand,durchfluss_k1_k2,v3_open,v4_open,v5_open,pump_on,start_requested,acknowledge,emergency_stop,sensor_ok,data_quality
2026-07-01T12:00:00.000,0,78,24,20,0,20,0,20,0,0.0,False,False,False,False,False,False,False,True,GOOD
2026-07-01T12:00:10.000,1,78,24,20,0,20,0,20,0,0.0,False,False,False,False,True,False,False,True,GOOD
2026-07-01T12:00:20.000,1,78,24,20,0,20,0,20,0,0.0,False,False,False,False,True,False,False,True,GOOD
2026-07-01T12:01:00.000,2,78,22,35,6,20,0,20,0,1.2,True,False,False,False,True,False,False,True,GOOD
2026-07-01T12:02:00.000,2,78,18,50,12,20,0,20,0,1.2,True,False,False,False,True,False,False,True,GOOD
2026-07-01T12:02:40.000,2,78,14,65,18,20,0,20,0,1.2,True,False,False,False,True,False,False,True,GOOD
2026-07-01T12:03:40.000,3,78,14,65,18,20,0,20,0,0.0,False,False,False,False,True,False,False,True,GOOD
2026-07-01T12:05:00.000,3,78,14,65,18,20,0,20,0,0.0,False,False,False,False,True,False,False,True,GOOD
2026-07-01T12:06:00.000,3,78,14,66,18,20,0,20,0,0.0,False,False,False,False,True,False,False,True,GOOD
2026-07-01T12:07:00.000,4,78,14,66,16,24,6,20,0,0.0,False,True,False,False,True,False,False,True,GOOD
2026-07-01T12:08:10.000,4,78,14,66,10,24,16,20,0,0.0,False,True,False,False,True,False,False,True,GOOD
2026-07-01T12:09:20.000,5,78,14,66,10,24,16,20,0,0.0,False,False,False,False,True,False,False,True,GOOD
2026-07-01T12:10:30.000,5,78,14,80,18,24,16,20,0,0.0,False,False,False,False,True,False,False,True,GOOD
2026-07-01T12:11:30.000,5,78,14,99,18,24,16,20,0,0.0,False,False,False,False,True,False,False,True,GOOD
2026-07-01T12:12:30.000,6,78,14,99,18,24,16,20,0,0.0,False,False,False,False,True,False,False,True,GOOD
2026-07-01T12:14:10.000,6,78,14,100,18,24,16,20,0,0.0,False,False,False,False,True,False,False,True,GOOD
2026-07-01T12:15:30.000,6,78,14,99,18,24,16,20,0,0.0,False,False,False,False,True,False,False,True,GOOD
2026-07-01T12:16:50.000,7,78,14,60,18,24,16,20,0,0.0,False,False,False,False,True,False,False,True,GOOD
2026-07-01T12:17:50.000,7,78,14,35,18,24,16,20,0,0.0,False,False,False,False,True,False,False,True,GOOD
2026-07-01T12:18:30.000,7,78,14,24,18,24,16,20,0,0.0,False,False,False,False,True,False,False,True,GOOD
2026-07-01T12:19:30.000,8,78,14,24,8,24,16,21,6,0.0,False,False,True,True,True,False,False,True,GOOD
2026-07-01T12:20:40.000,8,78,14,24,0,24,16,18,16,0.0,False,False,True,True,True,False,False,True,GOOD
2026-07-01T12:21:40.000,9,78,14,24,0,24,16,18,16,0.0,False,False,False,False,True,False,False,True,GOOD
2026-07-01T12:23:20.000,9,78,14,24,0,24,16,18,16,0.0,False,False,False,False,True,False,False,True,GOOD
2026-07-01T12:25:00.000,9,78,14,24,0,24,16,18,16,0.0,False,False,False,False,True,False,False,True,GOOD
